Manufacturer Part Number,Quoted Manufacturer,Quoted LCSC Part Number,Quoted Manufacturer Part Number,Quantity,Unit Price,Ext.Price,Quantity Available,Min\Mult Order Qty,RoHS,Part Match Confidence
ANT3216A063R2400A,YAGEO,C412135,ANT3216A063R2400A,1,0.1197,0.12,0,5\5,yes,100%
GRM155R61A106ME11D,Murata Electronics,C415703,GRM155R60J226ME11D,10,0.0369,0.37,262999,10\10,yes,80%
GRM0335C1H200GA01D,Murata Electronics,C76923,GRM0335C1H200JA01D,100,0.0025,0.25,5700,100\100,yes,80%
GRM033R61A104KE15D,Murata Electronics,C76934,GRM033R61A104KE15D,11,0.0013,0.01,2102000,100\100,yes,100%
GRM0335C1H1R5BA01J,Murata Electronics,C161414,GRM0335C1H1R5BA01D,100,0.0033,0.33,17800,100\100,yes,80%
GRM155R61H105KE05D,Murata Electronics,C77007,GRM155R61C105KE01D,100,0.0039,0.39,795800,100\100,yes,80%
GRM155C61E475ME15J,Murata Electronics,C2858031,GRM155R61E475ME15D,10,0.0437,0.44,140884,10\10,yes,80%
150060YS75000,Wurth Elektronik,C3030991,150060RS75000,5,0.1554,0.78,11975,5\5,yes,80%
MBR0530,FUXINSEMI,C7436545,MBR0530T1G,10,0.0207,0.21,38890,10\10,yes,80%
150060VS75000,Wurth Elektronik,C5197644,150060BS75000,5,0.2123,1.06,4570,5\5,yes,80%
ERB-RD0R50X,PANASONIC,C424346,ERBRD0R50X,1,0.2047,0.2,0,5\5,yes,100%
USB4105-GF-A,Global Connector Technology,C7407283,USB4151-GF-C,1,3.1198,3.12,0,1\1,yes,80%
505110-2491,MOLEX,C6807802,505110-4096,1,2.178,2.18,20,1\1,yes,80%
LQP03HQ3N0B02D,Murata Electronics,C337939,LQP03HQ3N9B02D,10,0.0514,0.51,29110,10\10,yes,80%
1239AS-H-100M=P2,Murata Electronics,C237599,1239AS-H-100M=P2,1,0.0726,0.07,4520,5\5,yes,100%
S2B-PH-SM4-TB(LF)(SN),JST,C295747,S2B-PH-SM4-TB(LF)(SN),1,0.1809,0.18,73500,5\5,yes,100%
BSS84LT1G,LRC,C8492,LBSS84LT1G,20,0.0225,0.45,147260,20\20,yes,80%
SI1308EDL-T1-BE3,Vishay Intertech,C469327,SI1308EDL-T1-GE3,5,0.0938,0.47,4275,5\5,yes,80%
AC0402FR-07150RL,YAGEO,C144805,AC0402FR-0710RL,100,0.0017,0.17,75800,100\100,yes,80%
AC0402FR-075K1L,YAGEO,C105872,RC0402FR-075K1L,100,0.0006,0.06,924010,100\100,yes,80%
AC0402FR-0710KL,YAGEO,C60490,RC0402FR-0710KL,100,0.0006,0.06,3411973,100\100,yes,80%
AC0402JR-070RL,YAGEO,C60485,RC0402JR-070RL,100,0.0006,0.06,1409176,100\100,yes,80%
AC0402FR-07100KL,YAGEO,C144807,AC0402FR-0710KL,100,0.0011,0.11,1286286,100\100,yes,80%
AC0402FR-073RL,YAGEO,C227000,AC0402FR-0733RL,100,0.0011,0.11,242000,100\100,yes,80%
AC0402FR-131KL,YAGEO,C227274,AC0402FR-07931KL,100,0.0011,0.11,6600,100\100,yes,80%
PTS636 SKG25 SMTR LFS,C&K,C2800965,PTS636 SK25J SMTR LFS,5,0.0755,0.38,1055,5\5,yes,80%
MCP73831T-2ACI/OT,Microchip Tech,C14879,MCP73831T-2ATI/OT,1,1.0119,1.01,5536,1\1,yes,80%
MIC5504-3.3YM5-TR,Microchip Tech,C88419,MIC5504-3.3YM5-TR,1,0.2546,0.25,5570,5\5,yes,100%
BME680,Bosch Sensortec,C125972,BME680,1,7.6444,7.64,688,1\1,yes,100%
MAX17043X+T10,Analog Devices Inc./Maxim Integrated,C2682616,MAX17048G+T10,1,1.0978,1.1,1259,1\1,yes,80%
ESP32-C3FH4,Espressif Systems,C5143572,ESP32-C3FN4,1,1.5926,1.59,1477,1\1,yes,80%
ABS07AIG-32.768KHZ-7-D-T,Abracon LLC,C1985458,ABS07AIG-32.768KHZ-7-D-T,1,1.6705,1.67,0,1\1,yes,100%
ABM11-40.000MHZ-B1U-T3,Abracon LLC,C1985462,ABM11-40.000MHZ-B1U-T3,1,0.8066,0.81,0,1\1,yes,100%
